Timestamp,¿En qué semestre de Ingeniería en Sistemas Computacionales te encuentras actualmente?,¿En que carrera de la ESCOM estás cursando?,¿Cuál ha sido tu experiencia previa en entrevistas laborales (o simulaciones) para puestos en TI?,¿Cómo describirías tu nivel general de inglés conversacional?,"En una escala del 1 al 5, ¿qué tan cómodo(a) te sientes usando vocabulario técnico de tu área (programación, redes, bases de datos, etc.) en inglés?","En una escala del 1 al 5, ¿qué tan preparado(a) te sientes actualmente para una entrevista de trabajo EN INGLÉS para un puesto Junior en TI?",¿Cuál de las siguientes emociones predomina cuando piensas en tener que hacer una entrevista laboral EN INGLÉS?,¿Cuáles son tus principales dificultades al enfrentarte a una entrevista técnica en inglés? (Selecciona hasta 3 opciones),¿Cómo te preparas actualmente para mejorar tu desempeño en entrevistas de TI en inglés? (Puedes seleccionar varias),¿Has utilizado alguna herramienta de Inteligencia Artificial (IA) para practicar tus habilidades de inglés o simular entrevistas?,"¿Qué tan probable es que uses un simulador de entrevistas con IA, enfocado en puestos de TI Junior y que te da feedback personalizado en inglés?",¿Qué tan decepcionado(a) estarías si esta herramienta de simulación de entrevistas NO existiera o dejará de funcionar mañana?,"De las siguientes 5 posiciones entry-level, ¿cuál es la que te parece más atractiva o en la que te enfocarías en el corto plazo?",¿Cuál de las siguientes características sería la MÁS valiosa en un simulador de entrevistas con IA? (Elige solo 1),¿Te gustaría participar en la validación (Beta Testing) de esta herramienta y ser uno de los primeros en probar el simulador de IA de forma gratuita?,"Si esta herramienta te resultara útil, ¿qué tan probable es que la recomiendes a otros estudiantes de ESCOM que buscan empleo?"
5/11/2026 18:00:53,7mo Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español","Básico (Entiendo frases simples, pero tengo mucha dificultad para hablar)",5,2,Ansiedad o Miedo (Temor a no entender o cometer errores),"Poca fluidez al hablar o tartamudeo, Manejo de los nervios (bloqueo mental), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Busco y practico preguntas típicas en inglés por mi cuenta, Leo documentación técnica, libros o blogs en inglés, Practico con amigos o compañeros que hablan inglés","Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",5,Moderadamente decepcionado(a),Backend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",5
5/11/2026 18:07:44,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),4,3,Ansiedad o Miedo (Temor a no entender o cometer errores),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Manejo de los nervios (bloqueo mental), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Utilizo apps de idiomas (Duolingo, Babbel, etc.)","Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",5,"Muy decepcionado(a), me sería de gran ayuda",Data Analyst,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Sí, me interesa mucho participar.",5
5/11/2026 18:07:46,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),4,4,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)",Comprender la pregunta del entrevistador (Listening),Tomo clases/cursos de inglés especializados,"Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",5,Moderadamente decepcionado(a),Junior DevOps,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",4
5/11/2026 18:10:12,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español",Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,3,Indiferencia (No he pensado en ello),Manejo de los nervios (bloqueo mental),No realizo ninguna práctica específica actualmente,"No, nunca he usado IA para este fin",5,Moderadamente decepcionado(a),Data Analyst,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Tal vez, si el tiempo lo permite.",5
5/11/2026 18:10:31,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",4,4,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Poca fluidez al hablar o tartamudeo, Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)",Busco y practico preguntas típicas en inglés por mi cuenta,"No, nunca he usado IA para este fin",5,Moderadamente decepcionado(a),Backend Developer,Banco de preguntas ilimitado y actualizado.,"Tal vez, si el tiempo lo permite.",5
5/11/2026 18:13:43,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo, Pronunciación incorrecta","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Busco y practico preguntas típicas en inglés por mi cuenta, Leo documentación técnica, libros o blogs en inglés, Practico con amigos o compañeros que hablan inglés","No, nunca he usado IA para este fin",3,Un poco decepcionado(a),Backend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",3
5/11/2026 18:13:46,5to Semestre,Ingeniería en Inteligencia Artificial (IIA),He tenido entrevistas en inglés,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),4,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)",Comprender la pregunta del entrevistador (Listening),"Tomo clases/cursos de inglés especializados, Utilizo apps de idiomas (Duolingo, Babbel, etc.), Practico con amigos o compañeros que hablan inglés","Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",5,"Extremadamente decepcionado(a), es indispensable para mi preparación",Data Analyst,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",3
5/11/2026 18:17:00,5to Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,3,Ansiedad o Miedo (Temor a no entender o cometer errores),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo, Manejo de los nervios (bloqueo mental)","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Leo documentación técnica, libros o blogs en inglés","No, nunca he usado IA para este fin",4,"Muy decepcionado(a), me sería de gran ayuda",Frontend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",5
5/11/2026 18:20:33,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,Avanzado/Nativo (Me siento completamente cómodo en cualquier conversación),4,4,Indiferencia (No he pensado en ello),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Pronunciación incorrecta",No realizo ninguna práctica específica actualmente,No sabía que existían herramientas de IA para simular entrevistas,3,"No me decepcionaría, no es necesaria para mí",Data Analyst,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",4
5/11/2026 18:59:28,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",2,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo","Utilizo apps de idiomas (Duolingo, Babbel, etc.)","No, nunca he usado IA para este fin",5,Moderadamente decepcionado(a),Backend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",4
